PID AA_1 AA_2 AA_3 AA_4 AA_5 AA_6 AA_7 AA_8 AA_9 AA_10 AA_11 AA_12 AA_13 AA_14 AA_15 AA_16 AA_17 AA_18 AA_19 AA_20
Pathogen_79 1 0 1 1 1 1 0 0 1 1 0 0 0 0 1 0 0 1 0 0
Pathogen_80 1 0 0 0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1
Pathogen_81 1 0 1 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0
Pathogen_82 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 1 0 0 0
Pathogen_83 0 1 1 1 1 1 0 1 0 1 0 1 1 0 1 0 0 0 1 1
Pathogen_84 0 0 0 1 1 1 1 1 1 1 0 1 1 0 0 0 0 1 1 0
Pathogen_85 0 0 1 0 1 1 1 0 1 1 0 0 0 1 0 1 0 0 1 1
Pathogen_86 1 1 1 0 0 0 1 1 1 1 0 0 0 0 0 1 1 0 0 0
Pathogen_87 1 0 0 0 1 1 0 1 1 1 0 0 1 0 0 1 0 0 0 0
Pathogen_88 0 1 1 1 1 1 1 0 0 1 1 1 0 0 1 0 0 0 0 1
Pathogen_89 0 0 0 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0 1 0
Pathogen_90 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0
Pathogen_91 1 0 1 0 1 1 1 1 0 1 0 0 0 0 0 0 0 1 1 1
Pathogen_92 0 0 1 1 0 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0
Pathogen_93 0 1 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 1 1
Pathogen_94 0 0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0
Pathogen_95 0 1 1 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 1
Pathogen_96 0 0 0 1 1 1 0 1 1 1 1 0 1 0 0 0 0 0 0 1
Pathogen_97 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0
Pathogen_98 0 0 0 1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 0 0
Pathogen_99 1 0 0 1 1 1 1 0 1 1 0 0 0 0 0 0 0 1 0 0
Pathogen_100 0 0 1 1 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0
Pathogen_101 1 0 1 1 1 1 0 1 1 1 0 0 1 0 0 0 0 0 0 0
Pathogen_102 1 1 1 0 1 1 0 1 1 1 0 0 0 0 1 0 1 0 0 1
Pathogen_103 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0
Pathogen_104 0 0 0 0 1 1 0 1 0 1 0 1 0 0 1 1 1 1 0 0
Pathogen_105 0 1 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0
Pathogen_106 1 0 0 0 1 1 0 0 1 1 0 1 1 0 1 0 0 1 0 0
Pathogen_107 1 0 1 1 1 1 0 1 1 1 0 0 1 0 1 0 0 1 0 1
Pathogen_108 1 0 0 0 1 1 0 1 1 1 0 0 1 0 0 0 1 0 0 0
Pathogen_109 0 0 1 0 1 1 0 1 1 1 0 0 0 1 0 0 0 1 0 0
Pathogen_110 1 0 1 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 1 1
Pathogen_111 0 0 1 1 0 1 0 1 1 1 0 0 1 0 1 0 1 0 1 0
Pathogen_112 0 0 1 0 1 1 0 0 0 1 0 0 1 0 0 0 1 0 0 1
Pathogen_113 1 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0
Pathogen_114 0 0 1 1 1 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0
Pathogen_115 1 0 0 1 1 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0
Pathogen_116 0 1 0 1 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0
Pathogen_117 0 0 1 0 1 1 1 0 1 1 0 0 0 0 0 0 1 0 0 0
Pathogen_118 1 0 1 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 1 1
Pathogen_119 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0
Pathogen_120 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1
Pathogen_121 0 0 1 1 1 1 0 0 0 1 0 0 1 0 0 0 1 0 1 1
Pathogen_122 0 0 0 0 1 1 0 1 1 1 0 0 1 0 0 0 0 1 0 0
Pathogen_123 0 0 1 1 1 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0
Pathogen_124 1 0 0 0 1 1 1 1 0 1 0 1 0 0 1 0 0 0 0 1
Pathogen_125 1 0 1 0 1 1 0 1 0 1 0 1 0 0 0 0 1 0 1 0
Pathogen_126 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0
Pathogen_127 0 0 1 0 1 1 0 1 1 1 0 0 0 0 0 1 0 0 0 0
Pathogen_128 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
Pathogen_129 1 0 1 0 1 1 0 0 0 1 0 0 0 1 1 0 1 0 0 1
Pathogen_130 0 1 1 0 1 1 1 1 1 0 0 0 1 0 1 0 0 0 0 0
Pathogen_131 0 1 0 1 1 1 0 1 1 0 1 0 0 0 0 0 0 0 1 1
Pathogen_132 0 0 1 1 1 1 0 0 0 1 0 1 1 0 0 1 0 0 1 1
Pathogen_133 0 1 1 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0
Pathogen_134 0 0 1 0 1 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0
Pathogen_135 1 1 1 0 1 1 0 1 1 1 0 0 0 0 1 0 0 0 1 1
Pathogen_136 0 1 0 0 0 1 1 1 0 1 0 0 1 0 0 1 1 0 0 0
Pathogen_137 0 0 0 1 1 1 1 0 1 1 0 0 1 0 0 1 0 0 1 0
Pathogen_138 0 1 1 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 1 1
Pathogen_139 0 1 1 0 1 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0
Pathogen_140 1 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1
Pathogen_141 1 1 1 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0
Pathogen_142 1 0 1 0 1 1 0 1 0 1 1 0 0 0 1 0 0 0 0 1
Pathogen_143 0 0 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0
Pathogen_144 0 1 1 1 0 1 0 1 1 1 0 0 1 0 0 1 0 0 0 0
Pathogen_145 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1
Pathogen_146 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0
Pathogen_147 0 0 1 1 1 1 0 1 1 1 0 0 1 1 0 0 0 0 0 0
Pathogen_148 1 0 0 1 1 1 0 0 0 0 1 1 0 1 0 1 0 1 1 0
Pathogen_149 0 0 0 0 1 0 1 1 0 1 0 0 1 0 0 0 1 1 0 0
Pathogen_150 0 0 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0
Pathogen_151 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1
Pathogen_152 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 1 1 1 0 1
Pathogen_153 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
Pathogen_154 0 1 0 0 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 1
Pathogen_155 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 1 1
Pathogen_156 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 1 0 0
Pathogen_157 0 0 0 0 1 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0
Pathogen_158 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0
Pathogen_159 0 0 0 0 1 1 1 0 0 1 0 1 1 0 0 0 0 0 1 0
Pathogen_160 1 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 1 0 0 1
Pathogen_161 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0
Pathogen_162 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 1
Pathogen_163 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0
Pathogen_164 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
Pathogen_165 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0
Pathogen_166 0 0 1 0 1 1 0 0 1 1 0 0 1 1 0 0 0 1 1 1
Pathogen_167 0 0 0 0 1 0 0 0 1 1 0 1 1 0 0 0 0 1 0 0
Pathogen_168 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0
Pathogen_169 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0
Pathogen_170 0 0 0 1 0 1 1 0 0 0 0 1 1 0 1 0 1 0 1 0
Pathogen_171 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 1 0 1 0
Pathogen_172 0 0 0 1 0 1 0 0 0 1 1 1 1 0 0 0 0 1 0 1
Pathogen_173 0 0 0 0 1 1 1 0 0 1 0 0 1 1 0 1 0 0 0 0
Pathogen_174 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
Pathogen_175 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1
Pathogen_176 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0
Pathogen_177 1 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0
Pathogen_178 1 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1
Pathogen_179 1 1 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 1 1
Pathogen_180 0 1 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 1 0
Pathogen_181 0 0 0 0 1 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0
Pathogen_182 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0
Pathogen_183 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 1 1
Pathogen_184 0 0 0 0 0 1 1 1 0 0 0 0 0 1 1 0 0 0 0 0
Pathogen_185 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0
Pathogen_186 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0
Pathogen_187 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0
Pathogen_188 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 1 0 0
Pathogen_189 0 1 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 1 1
Pathogen_190 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0
Pathogen_191 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 1 1
Pathogen_192 1 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 1 1 0 0
Pathogen_193 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1
Pathogen_194 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0
Pathogen_195 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 1
Pathogen_196 0 1 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0
Pathogen_197 1 0 0 0 0 0 1 1 0 1 0 1 1 0 0 0 0 0 1 0
Pathogen_198 0 0 0 1 0 1 0 0 1 1 0 0 1 0 0 1 1 0 1 0
Pathogen_199 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
Pathogen_200 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
Pathogen_201 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0
Pathogen_202 0 0 0 0 1 1 1 1 1 1 0 0 1 0 0 0 1 0 0 1
Pathogen_203 0 0 0 0 0 0 1 0 0 1 0 0 1 1 1 0 0 0 0 0
Pathogen_204 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 1
Pathogen_205 0 0 1 0 1 0 0 1 0 1 0 0 1 1 0 0 0 1 1 0
Pathogen_206 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0
Pathogen_207 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0
Pathogen_208 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Pathogen_209 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1
Pathogen_210 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0
Pathogen_211 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0
Pathogen_212 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 1 0 0 1
Pathogen_213 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 1 1
Pathogen_214 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1
Pathogen_215 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0
Pathogen_216 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 1 0 0 0
Pathogen_217 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
Pathogen_218 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0
Pathogen_219 0 0 0 1 0 0 1 0 1 1 0 0 1 0 0 0 1 1 0 0
Pathogen_220 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0
Pathogen_221 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
Pathogen_222 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1
Pathogen_223 1 1 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0
Pathogen_224 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0
Pathogen_225 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0
Pathogen_226 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 1 1
Pathogen_227 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
Pathogen_228 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1
Pathogen_229 0 0 0 0 1 0 0 1 0 1 0 0 1 1 0 0 0 1 1 1
Pathogen_230 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1
Pathogen_231 1 0 0 0 1 1 0 0 0 1 0 0 1 0 1 0 1 1 0 0
Pathogen_232 0 0 0 0 1 1 0 1 0 0 0 0 1 0 1 0 0 1 0 0
Pathogen_233 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0
Pathogen_234 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 1 0
Pathogen_235 0 0 0 0 1 0 0 0 1 1 1 1 1 1 0 1 1 0 0 0
Pathogen_236 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 1
Pathogen_237 0 1 0 0 0 1 0 1 0 1 0 0 1 0 1 0 0 1 0 0
Pathogen_238 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0
Pathogen_239 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
Pathogen_240 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0
Pathogen_241 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0
Pathogen_242 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
Pathogen_243 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0
Pathogen_244 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1
Pathogen_245 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 1 0 0 0
Pathogen_246 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
Pathogen_247 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0
Pathogen_248 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1
Pathogen_249 0 1 0 0 1 0 1 0 0 1 0 0 0 0 1 0 1 0 1 1
Pathogen_250 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 1 0
Pathogen_251 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1
Pathogen_252 0 0 1 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 1 0
Pathogen_253 0 0 0 1 1 1 0 0 0 1 1 0 0 1 0 1 0 0 0 1
Pathogen_254 0 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 1 1 0 1
Pathogen_255 0 0 0 1 0 1 1 1 1 0 0 0 0 0 1 0 1 0 0 1
Pathogen_256 0 0 1 0 1 1 1 0 0 1 0 0 1 0 0 0 1 0 0 0
Pathogen_257 1 0 1 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1
Pathogen_258 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1
Pathogen_259 0 1 1 1 1 1 1 1 0 1 0 1 0 0 0 0 1 0 0 0
Pathogen_260 0 1 1 0 1 1 1 1 1 0 0 0 0 1 1 0 0 0 1 0
Pathogen_261 1 0 0 0 1 1 1 0 1 0 0 0 0 0 1 1 0 1 0 1
Pathogen_262 0 1 1 1 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0
Pathogen_263 0 0 0 0 1 1 1 1 1 0 0 1 0 0 0 0 0 0 1 0
Pathogen_264 0 0 1 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 1
Pathogen_265 0 0 1 0 1 1 0 1 1 1 1 0 1 0 0 0 1 1 1 0
Pathogen_266 0 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 1 0 1 0
Pathogen_267 0 1 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0
Pathogen_268 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 1 0 0 1 0
Pathogen_269 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0
Pathogen_270 0 0 0 1 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 1
Pathogen_271 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 1 1 0 0
Pathogen_272 0 1 1 1 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0
Pathogen_273 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1
Pathogen_274 0 0 0 1 1 1 0 0 1 0 1 0 0 0 0 0 1 1 0 1
Pathogen_275 0 0 1 0 1 0 0 0 0 1 0 0 1 1 0 0 1 0 0 1
Pathogen_276 0 0 1 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0
Pathogen_277 1 0 1 0 0 1 1 1 0 1 0 0 0 0 0 0 0 1 0 1
Pathogen_278 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1
Pathogen_279 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0
Pathogen_280 0 1 1 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0
Pathogen_281 0 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 0 1 0 0
Pathogen_282 1 1 0 0 1 1 0 1 0 1 0 0 1 0 0 0 0 0 0 1
Pathogen_283 0 0 1 0 1 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0
Pathogen_284 0 0 1 0 1 1 0 0 0 1 0 0 0 0 1 0 0 1 1 0
Pathogen_285 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 1 0 0 0
Pathogen_286 0 0 1 1 1 1 0 0 1 1 0 0 0 0 0 0 1 0 0 1
Pathogen_287 0 0 1 0 0 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0
